 year,state_id,fed_marg,fed_avg,fed_elas,st_marg,       st_avg,st_elas,c_marg,c_avg,c_elas,state_abv
1979,   11,    0.2678,    0.1302,    2.0997,    0.0520,    0.0268,    1.9744,    0.3197,    0.1571,    2.0782, "GA"
1979,   12,    0.2878,    0.1557,    1.8834,    0.0825,    0.0495,    1.6932,    0.3703,    0.2052,    1.8374, "HI"
1979,   13,    0.2496,    0.1216,    2.0962,    0.0626,    0.0304,    2.1009,    0.3122,    0.1520,    2.0972, "ID"
1979,   14,    0.3057,    0.1611,    1.9346,    0.0254,    0.0221,    1.1594,    0.3310,    0.1832,    1.8403, "IL"
1979,   15,    0.2913,    0.1518,    1.9572,    0.0171,    0.0150,    1.1526,    0.3084,    0.1668,    1.8842, "IN"
1979,   16,    0.2846,    0.1492,    1.9447,    0.0505,    0.0326,    1.5747,    0.3351,    0.1818,    1.8783, "IA"
1979,   17,    0.2821,    0.1408,    2.0445,    0.0369,    0.0199,    1.8899,    0.3190,    0.1607,    2.0253, "KS"
1979,   18,    0.2726,    0.1382,    2.0121,    0.0409,    0.0308,    1.3481,    0.3135,    0.1690,    1.8905, "KY"
1979,   19,    0.2885,    0.1464,    2.0105,    0.0240,    0.0157,    1.5509,    0.3125,    0.1621,    1.9657, "LA"
1979,   20,    0.2588,    0.1365,    1.9320,    0.0555,    0.0257,    2.2044,    0.3143,    0.1623,    1.9751, "ME"
1979,   21,    0.2977,    0.1527,    1.9884,    0.0478,    0.0314,    1.5440,    0.3454,    0.1841,    1.9123, "MD"
1979,   22,    0.2827,    0.1493,    1.9299,    0.0590,    0.0471,    1.2694,    0.3417,    0.1964,    1.7707, "MA"
1979,   23,    0.2964,    0.1545,    1.9566,    0.0511,    0.0318,    1.6327,    0.3475,    0.1863,    1.9011, "MI"
1979,   24,    0.2749,    0.1462,    1.9162,    0.0919,    0.0601,    1.5530,    0.3668,    0.2063,    1.8101, "MN"
1979,   25,    0.2633,    0.1266,    2.1235,    0.0275,    0.0120,    2.3408,    0.2908,    0.1387,    2.1423, "MS"
1979,   26,    0.2856,    0.1471,    1.9808,    0.0335,    0.0192,    1.7777,    0.3191,    0.1662,    1.9573, "MO"
1979,   27,    0.2601,    0.1270,    2.0905,    0.0569,    0.0325,    1.7812,    0.3170,    0.1595,    2.0273, "MT"
1979,   28,    0.2644,    0.1314,    2.0534,    0.0482,    0.0235,    2.0914,    0.3126,    0.1549,    2.0591, "NE"
1979,   29,    0.2998,    0.1542,    1.9829,    0.0000,    0.0000,    0.0000,    0.2998,    0.1542,    3.4378, "NV"
1979,   30,    0.2742,    0.1375,    2.0347,    0.0030,    0.0024,    1.2589,    0.2772,    0.1399,    2.0212, "NH"
1979,   31,    0.3121,    0.1632,    1.9501,    0.0244,    0.0196,    1.2650,    0.3366,    0.1828,    1.8763, "NJ"
1979,   32,    0.2598,    0.1253,    2.1167,    0.0377,    0.0046,    8.8944,    0.2975,    0.1299,    2.3432, "NM"
1979,   33,    0.2793,    0.1500,    1.8975,    0.0967,    0.0513,    1.9218,    0.3760,    0.2013,    1.9037, "NY"
1979,   34,    0.2563,    0.1281,    2.0405,    0.0629,    0.0412,    1.5516,    0.3192,    0.1693,    1.9212, "NC"
1979,   35,    0.2619,    0.1256,    2.1298,    0.0287,    0.0152,    1.9289,    0.2906,    0.1407,    2.1081, "ND"
1979,   36,    0.2943,    0.1548,    1.9383,    0.0247,    0.0144,    1.7516,    0.3190,    0.1691,    1.9224, "OH"
1979,   37,    0.2761,    0.1419,    1.9844,    0.0424,    0.0205,    2.1170,    0.3185,    0.1624,    2.0011, "OK"
1979,   38,    0.2756,    0.1444,    1.9458,    0.0740,    0.0478,    1.5727,    0.3495,    0.1922,    1.8528, "OR"
1979,   39,    0.2872,    0.1508,    1.9410,    0.0229,    0.0220,    1.0483,    0.3100,    0.1729,    1.8263, "PA"
1979,   40,    0.2675,    0.1375,    1.9831,    0.0500,    0.0261,    1.9539,    0.3175,    0.1637,    1.9784, "RI"
1979,   41,    0.2568,    0.1274,    2.0575,    0.0626,    0.0352,    1.8079,    0.3193,    0.1626,    2.0033, "SC"
1979,   42,    0.2559,    0.1190,    2.1964,    0.0000,    0.0000,    0.0000,    0.2559,    0.1190,   12.4657, "SD"
1979,   43,    0.2802,    0.1393,    2.0525,    0.0034,    0.0034,    1.0078,    0.2836,    0.1427,    2.0274, "TN"
1979,   44,    0.3084,    0.1599,    1.9665,    0.0000,    0.0000,    0.0000,    0.3084,    0.1599,    0.4899, "TX"
1979,   45,    0.2528,    0.1183,    2.1832,    0.0505,    0.0310,    1.6580,    0.3033,    0.1493,    2.0738, "UT"
1979,   46,    0.2514,    0.1266,    2.0257,    0.0568,    0.0292,    1.9872,    0.3082,    0.1558,    2.0185, "VT"
1979,   47,    0.2842,    0.1452,    1.9956,    0.0510,    0.0302,    1.7194,    0.3352,    0.1754,    1.9480, "VA"
1979,   48,    0.3067,    0.1589,    1.9682,    0.0000,    0.0000,    0.0000,    0.3067,    0.1589,    2.5166, "WA"
1979,   49,    0.2810,    0.1479,    1.9371,    0.0400,    0.0251,    1.6169,    0.3210,    0.1730,    1.8904, "WV"
1979,   50,    0.2578,    0.1327,    1.9810,    0.0876,    0.0650,    1.3661,    0.3454,    0.1977,    1.7781, "WI"
1979,   51,    0.3000,    0.1515,    2.0209,    0.0000,    0.0000,    0.0000,    0.3000,    0.1515,   20.6979, "WY"
1979,   52,    0.2874,    0.1488,    1.9692,    0.0438,    0.0264,    1.6904,    0.3312,    0.1752,    1.9271, "US"
1980,    1,    0.3119,    0.1690,    1.8809,    0.0329,    0.0246,    1.3539,    0.3449,    0.1936,    1.8135, "AL"
1980,    2,    0.3831,    0.1919,    2.0374,    0.0000,    0.0000,    0.0000,    0.3831,    0.1919,   10.4722, "AK"
1980,    3,    0.2866,    0.1409,    2.0771,    0.0497,    0.0293,    1.7225,    0.3363,    0.1702,    2.0158, "AZ"
1980,    4,    0.2656,    0.1305,    2.0778,    0.0459,    0.0249,    1.8834,    0.3115,    0.1553,    2.0466, "AR"
1980,    5,    0.3003,    0.1543,    1.9843,    0.0706,    0.0326,    2.2113,    0.3708,    0.1869,    2.0238, "CA"
1980,    6,    0.3099,    0.1559,    2.0289,    0.0372,    0.0223,    1.6966,    0.3471,    0.1781,    1.9872, "CO"
1980,    7,    0.3471,    0.1867,    1.8945,    0.0066,    0.0041,    1.6521,    0.3537,    0.1907,    1.8893, "CT"
1980,    8,    0.2977,    0.1599,    1.8973,    0.0845,    0.0495,    1.7382,    0.3822,    0.2094,    1.8597, "DE"
1980,    9,    0.3364,    0.1900,    1.8019,    0.0849,    0.0538,    1.6039,    0.4212,    0.2438,    1.7582, "DC"
1980,   10,    0.3170,    0.1658,    1.9488,    0.0000,    0.0000,    0.0000,    0.3170,    0.1658,    0.2238, "FL"
1980,   11,    0.2818,    0.1378,    2.0880,    0.0530,    0.0283,    1.9092,    0.3348,    0.1661,    2.0575, "GA"
1980,   12,    0.2938,    0.1535,    1.9512,    0.0828,    0.0480,    1.7543,    0.3766,    0.2015,    1.9043, "HI"
1980,   13,    0.2602,    0.1266,    2.0991,    0.0636,    0.0319,    2.0336,    0.3238,    0.1585,    2.0859, "ID"
1980,   14,    0.3256,    0.1710,    1.9416,    0.0252,    0.0222,    1.1482,    0.3509,    0.1932,    1.8497, "IL"
1980,   15,    0.3068,    0.1589,    1.9687,    0.0191,    0.0167,    1.1525,    0.3258,    0.1756,    1.8904, "IN"
1980,   16,    0.3091,    0.1647,    1.9125,    0.0507,    0.0332,    1.5503,    0.3599,    0.1980,    1.8515, "IA"
1980,   17,    0.3009,    0.1506,    2.0390,    0.0377,    0.0211,    1.8233,    0.3386,    0.1717,    2.0124, "KS"
1980,   18,    0.2888,    0.1470,    2.0038,    0.0404,    0.0308,    1.3287,    0.3292,    0.1778,    1.8863, "KY"
1980,   19,    0.3164,    0.1630,    1.9792,    0.0171,    0.0080,    2.1866,    0.3335,    0.1710,    1.9888, "LA"
1980,   20,    0.2765,    0.1492,    1.8882,    0.0614,    0.0290,    2.1581,    0.3379,    0.1783,    1.9321, "ME"
1980,   21,    0.3131,    0.1590,    2.0090,    0.0481,    0.0316,    1.5448,    0.3612,    0.1906,    1.9318, "MD"
1980,   22,    0.3019,    0.1603,    1.9195,    0.0600,    0.0487,    1.2457,    0.3619,    0.2091,    1.7616, "MA"
1980,   23,    0.3076,    0.1584,    1.9805,    0.0531,    0.0318,    1.6981,    0.3607,    0.1902,    1.9332, "MI"
1980,   24,    0.2992,    0.1602,    1.9032,    0.0886,    0.0586,    1.5352,    0.3878,    0.2188,    1.8044, "MN"
1980,   25,    0.2829,    0.1394,    2.0710,    0.0282,    0.0128,    2.2603,    0.3111,    0.1522,    2.0869, "MS"
1980,   26,    0.3011,    0.1542,    1.9909,    0.0337,    0.0197,    1.7415,    0.3348,    0.1739,    1.9626, "MO"
1980,   27,    0.2759,    0.1370,    2.0553,    0.0565,    0.0323,    1.7788,    0.3324,    0.1693,    2.0024, "MT"
1980,   28,    0.2808,    0.1395,    2.0538,    0.0421,    0.0196,    2.1891,    0.3229,    0.1592,    2.0705, "NE"
1980,   29,    0.3081,    0.1518,    2.0722,    0.0000,    0.0000,    0.0000,    0.3081,    0.1518,    3.4229, "NV"
1980,   30,    0.2939,    0.1483,    2.0221,    0.0042,    0.0035,    1.1926,    0.2981,    0.1518,    2.0026, "NH"
1980,   31,    0.3262,    0.1706,    1.9486,    0.0246,    0.0200,    1.2490,    0.3508,    0.1906,    1.8748, "NJ"
1980,   32,    0.2775,    0.1355,    2.0913,    0.0404,    0.0075,    5.6798,    0.3179,    0.1430,    2.2739, "NM"
1980,   33,    0.2958,    0.1587,    1.8997,    0.0961,    0.0527,    1.8571,    0.3919,    0.2114,    1.8891, "NY"
1980,   34,    0.2732,    0.1390,    2.0048,    0.0632,    0.0410,    1.5675,    0.3364,    0.1800,    1.9049, "NC"
1980,   35,    0.2830,    0.1397,    2.0678,    0.0292,    0.0159,    1.8714,    0.3122,    0.1556,    2.0477, "ND"
1980,   36,    0.3102,    0.1638,    1.9298,    0.0256,    0.0152,    1.7147,    0.3358,    0.1790,    1.9115, "OH"
1980,   37,    0.2994,    0.1538,    1.9861,    0.0459,    0.0225,    2.0835,    0.3454,    0.1763,    1.9985, "OK"
1980,   38,    0.2846,    0.1513,    1.9170,    0.0764,    0.0484,    1.6025,    0.3610,    0.1997,    1.8406, "OR"
1980,   39,    0.3043,    0.1594,    1.9453,    0.0227,    0.0220,    1.0424,    0.3270,    0.1815,    1.8348, "PA"
1980,   40,    0.2794,    0.1448,    1.9672,    0.0524,    0.0275,    1.9426,    0.3319,    0.1724,    1.9632, "RI"
1980,   41,    0.2672,    0.1339,    2.0354,    0.0632,    0.0361,    1.7850,    0.3304,    0.1700,    1.9822, "SC"
1980,   42,    0.2796,    0.1327,    2.1521,    0.0000,    0.0000,    0.0000,    0.2796,    0.1327,   11.9282, "SD"
1980,   43,    0.2953,    0.1492,    2.0197,    0.0070,    0.0042,    1.6863,    0.3023,    0.1534,    2.0105, "TN"
1980,   44,    0.3278,    0.1715,    1.9491,    0.0000,    0.0000,    0.0000,    0.3278,    0.1715,    0.4663, "TX"
1980,   45,    0.2652,    0.1243,    2.1792,    0.0497,    0.0310,    1.6313,    0.3149,    0.1553,    2.0695, "UT"
1980,   46,    0.2639,    0.1345,    2.0011,    0.0615,    0.0307,    2.0466,    0.3254,    0.1652,    2.0095, "VT"
1980,   47,    0.3010,    0.1543,    1.9897,    0.0514,    0.0313,    1.6726,    0.3524,    0.1855,    1.9361, "VA"
1980,   48,    0.3285,    0.1702,    1.9682,    0.0000,    0.0000,    0.0000,    0.3285,    0.1702,    2.4731, "WA"
1980,   49,    0.2957,    0.1601,    1.8813,    0.0419,    0.0264,    1.6135,    0.3376,    0.1865,    1.8433, "WV"
1980,   50,    0.2747,    0.1418,    1.9751,    0.0801,    0.0441,    1.8481,    0.3548,    0.1860,    1.9449, "WI"
1980,   51,    0.3213,    0.1628,    2.0133,    0.0000,    0.0000,    0.0000,    0.3213,    0.1628,   18.6965, "WY"
1980,   52,    0.3049,    0.1582,    1.9648,    0.0428,    0.0255,    1.7047,    0.3477,    0.1838,    1.9286, "US"
1981,    1,    0.3146,    0.1686,    1.9017,    0.0333,    0.0248,    1.3610,    0.3478,    0.1933,    1.8320, "AL"
1981,    2,    0.3717,    0.1933,    1.9600,    0.0000,    0.0000,    0.0000,    0.3717,    0.1933,    9.2536, "AK"
1981,    3,    0.2952,    0.1469,    2.0513,    0.0490,    0.0294,    1.6951,    0.3442,    0.1763,    1.9917, "AZ"
1981,    4,    0.2767,    0.1379,    2.0473,    0.0481,    0.0263,    1.8623,    0.3248,    0.1642,    2.0176, "AR"
1981,    5,    0.3052,    0.1565,    1.9892,    0.0708,    0.0323,    2.2388,    0.3760,    0.1888,    2.0319, "CA"
1981,    6,    0.3166,    0.1610,    2.0056,    0.0387,    0.0231,    1.7002,    0.3553,    0.1842,    1.9671, "CO"
1981,    7,    0.3516,    0.1880,    1.9065,    0.0046,    0.0043,    1.0835,    0.3562,    0.1922,    1.8880, "CT"
1981,    8,    0.3067,    0.1671,    1.8698,    0.0875,    0.0519,    1.7129,    0.3942,    0.2191,    1.8325, "DE"
1981,    9,    0.3373,    0.1911,    1.7965,    0.0875,    0.0550,    1.6179,    0.4248,    0.2461,    1.7566, "DC"
1981,   10,    0.3215,    0.1676,    1.9555,    0.0000,    0.0000,    0.0000,    0.3215,    0.1676,    0.2111, "FL"
1981,   11,    0.2881,    0.1431,    2.0551,    0.0545,    0.0297,    1.8698,    0.3426,    0.1728,    2.0232, "GA"
1981,   12,    0.2980,    0.1577,    1.9255,    0.0846,    0.0374,    2.3176,    0.3826,    0.1951,    2.0004, "HI"
1981,   13,    0.2712,    0.1352,    2.0464,    0.0663,    0.0346,    1.9552,    0.3375,    0.1698,    2.0278, "ID"
1981,   14,    0.3314,    0.1733,    1.9489,    0.0254,    0.0226,    1.1391,    0.3568,    0.1959,    1.8549, "IL"
1981,   15,    0.3139,    0.1636,    1.9570,    0.0193,    0.0171,    1.1415,    0.3332,    0.1806,    1.8794, "IN"
1981,   16,    0.3046,    0.1645,    1.8865,    0.0526,    0.0340,    1.5702,    0.3573,    0.1986,    1.8322, "IA"
